© 2000-2018 QIAGEN. All rights reserved.															
Symbol	Synonym(s)	Entrez Gene Name	Gene Symbol - human (HUGO / HGNC / Entrez Gene)	Expr Other	Expr Log Ratio	Expr p-value	Location	Family	Drugs	Entrez Gene ID for Human	Entrez Gene ID for Mouse	Entrez Gene ID for Rat	PubChem ID	HMDB ID	CAS ID
acetoxyacetylaminofluorene	2-AAAF, 6098-44-8, acetamide, N-(acetyloxy)-N-9H-fluoren-2-yl-, C17H15NO3, hydroxylamine, N,O-diacetyl-N-fluoren-2-yl-, N-acetoxy-2-acetylaminofluorene, NA-AAF, [acetyl(9H-fluoren-2-yl)amino] acetate						Other	chemical toxicant					22469	--	6098-44-8
ACP5	acid phosphatase 5, tartrate resistant, HPAP, Pap, TRACP, TRACP5a, TRACP5b, TRAP, TRAP 5b, TrATPase, TTRRAP, Uteroferrin	acid phosphatase 5, tartrate resistant					Cytoplasm	phosphatase		54		25732			
adenosine triphosphate	56-65-5, 9-beta-D-arabinofuranosyladenine 5'-triphosphate, 9-_-D-arabinofuranosyladenine 5'-triphosphate, adenosine 5'-(tetrahydrogen triphosphate), adenosine 5'-triphosphate, ATP, ATP4-, C10H16N5O13P3, [[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate						Other	chemical - endogenous mammalian					5957	HMDB0000538	56-65-5
ADORA3	1700001D09RIK, A(3)AR, A3AR, A3R, AA3R, AD026, ADENOSINE A3 receptor, ADORA, ARA3, Gpcr2, Tgpcr1	adenosine A3 receptor	ADORA3	8.506911077	1.515815606	0.033790382	Plasma Membrane	G-protein coupled receptor	CF102, adenosine, dyphylline, aminothiadiazole, clofarabine, theophylline, caffeine	140	11542				
anisomycin	(2R,3R,4R)-2-(4-methoxybenzyl)-3,4-pyrrolidinediol-3-acetate, 22862-76-6, 3,4-Pyrrolidinediol, 2-((4-methoxyphenyl)methyl)-, 3-acetate, (2R-(2alpha,3alpha,4beta))-, C14H19NO4, [(2S,3R,4R)-4-hydroxy-2-[(4-methoxyphenyl)methyl]pyrrolidin-3-yl] acetate						Other	chemical - endogenous non-mammalian					31549	--	22862-76-6
Ap1	activator protein-1, c-Jun						Nucleus	complex							
APP	AAA, Abetapp, ABPP, AD1, Adap, Ag, amyloid beta (A4) precursor protein, amyloid beta precursor protein, Amyloid precursor, amyloid precursor protein, amyloid _ (A4) precursor, amyloid _ (A4) precursor protein, amyloid _ A4 precursor, amyloid _ A4 precursor protein, amyloid _ precursor, amyloid _ precursor protein, amyloid _-protein precursor, amyloid-beta-protein, amyloid-_-protein, Amyloidogenic glycoprotein, APP isoform 1, APPI, appican, beta amyloid precursor protein, betaApp, CTFgamma, CVAP, E030013M08RIK, P3, PN-II, PN2, PreA4, protease nexin2, _ amyloid precursor protein, _ APP, _ PP, _-amyloid precursor	amyloid beta precursor protein	APP	28400.8379	-0.367494459	2.59711E-18	Plasma Membrane	other	bapineuzumab, florbetapir F18, florbetaben F	351	11820	54226			
ARHGAP12	2810011M08RIK, Rho GTPase activating protein 12	Rho GTPase activating protein 12	ARHGAP12	2108.860392	-0.704889419	5.50253E-19	Cytoplasm	other		94134	75415	307016			
arsenic trioxide	"1327-53-3, arsenic oxide, arsenic trioxide capsule formulation ORH 2014, arsenic(3+);oxygen(2-), Arsenite, Arsenolite, Arsodent, As2O3, ATO, Claudelite, Claudetite, diarsenic trioxide, ORH-2014, Trisenox"						Other	chemical drug					14888	HMDB0015300	1327-53-3
arsenite	15502-74-6, arsenite ions, arsenite(3-), As(III), AsO3-3, trioxidoarsane						Other	chemical toxicant					544	HMDB0011620	15502-74-6
ATF1	activating transcription factor 1, activating transcription factor 1, pseudogene, Atf1-ps, Gm1862, LOC100047705, TREB36	activating transcription factor 1	ATF1	1171.157761	0.021681162	0.807952625	Nucleus	transcription regulator		466	11908|100040260	315305			
ATF2	activating transcription factor 2, CRE-BP, CRE-BP1, CREB-2, D130078H02Rik, D18875, HB16, LOC100047997, mXBP, Tg(Gzma-Klra1)7Wum, TREB7	activating transcription factor 2	ATF2	1837.149839	0.289679109	0.000275836	Nucleus	transcription regulator		1386	11909	81647			
ATF7	1110012F10RIK, 9430065F09RIK, activating transcription factor 7, AI549878, ATFA, ATFA2, C130020M04RIK	activating transcription factor 7					Nucleus	transcription regulator		11016	223922	315333			
BAG3	AA407278, BCL2-associated athanogene 3, BIS, CAIR-1, MFM6, mg638	BCL2 associated athanogene 3	BAG3	1803.292189	0.189507765	0.042849001	Cytoplasm	other		9531	29810	293524			
BCL2	AW986256, B cell leukaemia/lymphoma 2, B cell leukemia/lymphoma 2, Bcl2 alpha, Bcl2 _, BCL2, apoptosis regulator, C430015F12Rik, D630044D05RIK, D830018M01RIK, LOC100046608, ORF16, PPP1R50	BCL2, apoptosis regulator	BCL2	302.4717447	-1.004760382	5.58724E-15	Cytoplasm	transporter	oblimersen, rasagiline, (-)-gossypol, obatoclax, BCL-2 blocker, navitoclax, gemcitabine/paclitaxel, bortezomib/paclitaxel, venetoclax, paclitaxel/trastuzumab, paclitaxel/pertuzumab/trastuzumab, lapatinib/paclitaxel, doxorubicin/paclitaxel, epirubicin/paclitaxel, paclitaxel/ramucirumab, paclitaxel/topotecan, BCL201, S 055746, APG-1252, rituximab/venetoclax, paclitaxel/rituximab, afatinib/paclitaxel, doxorubicin/lapatinib/paclitaxel/trastuzumab, paclitaxel, chelerythrine	596	12043	24224			
beta-estradiol	(17)estradiol, (8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol, 1,3,5(10)-estratriene-3,17beta-diol, 17 _-estradiol, 17-beta-E2, 17-beta-estradiol, 17-beta-oestradiol, 17-betaE, 17-_-E2, 17-_-estradiol, 17-_-oestradiol, 17B-estradiol, 50-28-2, Aerodiol, Agofollin, Alora, Altrad, Amnestrogen, Aquadiol, Bardiol, BHR-200, C18H24O2, Climaderm, Climara, Compudose, Compudose 200, Compudose 365, Corpagen, Dermestril, Dihydromenformon, Dihydrotheelin, Dimenformon, Dimenformon Prolongatum, Diogyn, Diogynets, Divigel, E2, Elestrin, Encore, Esclim, estra-1, 3, 5(10)-triene-3, 17b-diol, Estrace, Estraderm, Estraderm Tts, estradiol, estradiol hemihydrate, estradiol-17_, Estradurin, Estrasorb, Estreva, Estrifam, Estring, Estring Vaginal Ring, Estroclim, Estroclim 50, Estrofem 2, Estrofem Forte, Estrogel, Estrogens, Esterified, Estrovite, Evamist, Evorel, Extrasorb, Femestral, Femestrol, Feminone, Femogen, Fempatch, Femtrace, Femtran, Follicyclin, Ginedisc, Ginosedol, Gynergon, Gynestrel, Gynodiol, Gynoestryl, Gynpolar, Innofem, Lamdiol, Macrodiol, Macrol, Menorest, Menostar, Microdiol, Minivelle, Nordicol, Oestergon, Oestradiol, Oestradiol R, Oestrogel, Oestroglandol, Oestrogynal, Ovahormon, Ovasterol, Ovastevol, Ovociclina, Ovocyclin, Ovocycline, Ovocylin, Perlatanol, Primofol, Profoliol, Profoliol B, Progynon, Progynon Dh, Progynon-Dh, Ricifon, Ritsifon, Sandrena Gel, Sisare Gel, Sk-Estrogens, Soldep, Sotipox, Syndiol, Systen, Tradelia, Trial Sat, Trocosone, Vagifem, Vivelle, Vivelle-Dot, Zerella, Zumenon, _-estradiol						Other	chemical - endogenous mammalian					5757	HMDB0000151	50-28-2
C9orf78	bA409K20.3, BC005624, cDNA sequence BC005624, chromosome 9 open reading frame 78, HCA59, HSPC220, LOC51759	chromosome 9 open reading frame 78	C9orf78	1719.966615	-0.32882459	5.4369E-05	Other	other		51759	227707				
Calmodulin	CALM, Cam						Cytoplasm	group							
CALR	Calbindin-57kd, Calregulin, calreticulin, CALRETICULIN isoform 1, cC1qR, CRT, HEL-S-99n, RO, SSA	calreticulin	CALR	30712.56969	0.054562062	0.49984715	Cytoplasm	transcription regulator		811	12317	64202			
CAV1	BSCL3, Cav, Cavelolin 1, CAVEOLIN, caveolin 1, caveolae protein, Caveolin1, CGL3, LCCNS, LOC100362870, MSTP085, PPH3, VIP21	caveolin 1	CAV1	4740.58144	-0.96212568	1.25238E-34	Plasma Membrane	transmembrane receptor		857	12389	25404			
CCDC8	3M3, coiled-coil domain containing 8, p90, PPP1R20	coiled-coil domain containing 8	CCDC8	340.0697102	-0.07288331	0.607713984	Plasma Membrane	other		83987	434130	494320			
