© 2000-2018 QIAGEN. All rights reserved.															
Symbol	Synonym(s)	Entrez Gene Name	Gene Symbol - human (HUGO / HGNC / Entrez Gene)	Expr Other	Expr Log Ratio	Expr p-value	Location	Family	Drugs	Entrez Gene ID for Human	Entrez Gene ID for Mouse	Entrez Gene ID for Rat	PubChem ID	HMDB ID	CAS ID
2,6-diamino-4-hydroxy-5-formamidopyrimidine	133310-38-0, 77440-13-2, C5H7N5O2, FapyG, Fapygua, N-(2,4-diamino-6-oxo-5H-pyrimidin-5-yl)formamide						Other	chemical - endogenous mammalian					122328	HMDB0011657	133310-38-0
2-hydroxyestradiol	(17beta)-estra-1,3,5(10)-triene-2,3,17-triol, (8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-2,3,17-triol, 2-hydroxy-17beta-estradiol, 2-hydroxyestradiol-17beta, 2-OHE2, 362-05-0, C18H24O3, estra-1,3,5(10)-triene-2,3,17-beta-triol, estra-1,3,5(10)-triene-2,3,17-_-triol						Other	chemical - endogenous mammalian					247304	HMDB0000338	362-05-0
2-morpholin-4-yl-6-thianthren-1-yl-pyran-4-one	2-morpholin-4-yl-6-thianthren-1-ylpyran-4-one, C21H17NO3S2, KU-55933						Other	chemical reagent					5278396	--	
4-amino-1,8-naphthalimide	1H-benz(de)isoquinoline-1,3(2H)-dione, 6-amino-, 4-aminonaphthalene-1,8-dicarboximide, 4-aminonaphthalimide, 4-AN, 6-amino-1H-benz(de)isoquinoline-1,3(2H)-dione, 6-aminobenzo[de]isoquinoline-1,3-dione, 1742-95-6, ANI, C12H8N2O2, DFP 1						Other	chemical reagent					1720	--	1742-95-6
4-hydroxyestradiol-17beta	(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,4,17-triol, 4-hydroxy-17beta-estradiol, 4-hydroxyestradiol, 4-OHE2, 5976-61-4, C18H24O3						Other	chemical - endogenous mammalian					5282360	HMDB0005896	5976-61-4
7,8-dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	(±)-anti-benzo-[a]pyrene-7,8-diol-9,10-epoxide, 55097-80-8, 63528-87-0, 7,8,9,10-tetrahydrobenzo(a)pyrene-7,8-diol 9,10-epoxide, 8a,9a-dihydrobenzo(10,11)chryseno(3,4-b)oxirene-7,8-diol, anti-BPDE, anti-B[a]PDE, benzo(10,11)chryseno(3,4-b)oxirene-7,8-diol, 7,8,8a,9a-tetrahydro-, benzo(10,11)chryseno(3,4-b)oxirene-7,8-diol, 8a,9a-dihydro-, benzo(a)pyrene 7,8-dihydrodiol 9,10-epoxide, benzo(a)pyrene-7,8-diol 9,10-epoxide, BPDE, C20H14O3						Other	chemical toxicant					41322	HMDB0062470	55097-80-8
ABL1	ABL, ABL proto-oncogene 1, non-receptor tyrosine kinase, AI325092, c-ABL, c-abl oncogene 1, non-receptor tyrosine kinase, CABL1, CHDSKM, E430008G22Rik, JTK7, LOC100909750, p145Abl, p150, tyrosine-protein kinase ABL1-like, v-abl	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL1	5804.595924	0.058300561	0.240672689	Nucleus	kinase	nilotinib, dasatinib, saracatinib, regorafenib, KW 2449, ponatinib, cyclophosphamide/daunorubicin/imatinib/prednisone/vincristine, imatinib/nilotinib/pegintron, bosutinib, imatinib, temozolomide, dexamethasone/imatinib/vincristine, dexamethasone/imatinib, imatinib/prednisone, SKLB1028, imatinib/nilotinib, dasatinib/nilotinib, cytarabine/etoposide/imatinib/mitoxantrone, etoposide/imatinib/mitoxantrone, cytarabine/imatinib, cyclophosphamide/daunorubicin/imatinib/prednisolone/vincristine	25	11350	100909750|311860			
ABRAXAS1	3830405G04RIK, 5630400M01RIK, ABRA1, abraxas 1, BRCA1 A complex subunit, AI506069, AL024423, AV118690, BRCA1 A complex subunit, CCDC98, FAM175A, FLJ13614, RGD1305287	abraxas 1, BRCA1 A complex subunit	FAM175A	205.0227233	0.297812979	0.040315099	Nucleus	other		84142	70681	289468			
acetohexamide	1-(4-acetylphenyl)sulfonyl-3-cyclohexylurea, 1-(4-acetylphenyl)sulphonyl-3-cyclohexylurea, 8054-32-8, 968-81-0, benzenesulfonamide, 4-acetyl-N-((cyclohexylamino)carbonyl)-, C15H20N2O4S, Cyclamide, Dimelin, Dimelor, Dymelor, Gamadiabet, Hypoglicil, Metaglucina, Minoral, Ordimel, Tsiklamid						Other	chemical drug					1989	HMDB0014558	8054-32-8
acrolein	107-02-8, 2-Propenal, ACR, acrylaldehyde, acrylic aldehyde, C3H4O, prop-2-enal						Other	chemical toxicant					7847	HMDB0041822	107-02-8
ACTR5	AA545173, Arp5, ARP5 actin-related protein 5, ARP5 actin-related protein 5 homolog, B430109J19RIK, FLJ12785, INO80M	ARP5 actin related protein 5 homolog	ACTR5	733.5054688	-0.007176607	0.944579073	Nucleus	other		79913	109275	362258			
AKT1	AKT, AKT serine/threonine kinase 1, CWS6, LTR-akt, PKB, PKB-ALPHA, PKB-_, PKB/Akt, PRKBA, Protein kinase B, RAC, RAC-ALPHA, RAC-_, Thymoma proto-oncogene 1, thymoma viral proto-oncogene 1	AKT serine/threonine kinase 1	AKT1	1792.006088	-0.829642674	2.10687E-45	Cytoplasm	kinase	triciribine, GSK690693, MK2206, GSK2141795, triciribine phosphate, ipatasertib, LY2780301, ARQ 092, AZD5363, BAY1125976, MPT0E028, archexin, ARQ 751, enzastaurin, perifosine	207	11651	24185			
ALKBH1	2700073G19RIK, ABH, ABH1, alkB, alkB homolog 1, histone H2A dioxygenase, ALKBH, hABH	alkB homolog 1, histone H2A dioxygenase	ALKBH1	544.1341286	0.453529902	2.72075E-06	Cytoplasm	enzyme		8846	211064	362766			
