© 2000-2018 QIAGEN. All rights reserved.												
Symbol	Synonym(s)	Entrez Gene Name	Gene Symbol - human (HUGO / HGNC / Entrez Gene)	Expr Other	Expr Log Ratio	Expr p-value	Location	Family	Drugs	Entrez Gene ID for Human	Entrez Gene ID for Mouse	Entrez Gene ID for Rat
(BRCA1-BRCA2-MRN)-RAD51-RAD52-RAD54-RPA	(BRCA1-BRCA2-MRN)-RAD51-RAD52-RAD54-RPA						Nucleus	complex				
ATM	AI256621, AT1, ATA, ataxia telangiectasia mutated, ATC, ATD, ATDC, ATE, ATM serine/threonine kinase, C030026E19RIK, TEL1, TELO1	ATM serine/threonine kinase	ATM	934.2949046	-0.234418985	0.553495769	Nucleus	kinase	AZD0156	472	11920	300711
BRCA1	BRCA1, DNA repair associated, BRCAI, BRCC1, breast cancer 1, early onset, BROVCA1, FANCS, PNCA4, PPP1R53, PSCP, RNF53	BRCA1, DNA repair associated	BRCA1	2112.914948	0.111907524	0.080618249	Nucleus	transcription regulator		672	12189	497672
BRCA1-BRCA2-MRN							Nucleus	complex				
BRCA2	AW045498, BRCA2, DNA repair associated, BRCC2, breast cancer 2, early onset, BROVCA2, FACD, FAD1, FAD, FANCD1, FANCD, GLM3, PNCA2, RAB163, XRCC11	BRCA2, DNA repair associated	BRCA2	1315.796739	0.390317591	3.42529E-06	Nucleus	transcription regulator		675	12190	360254
c-Abl	ABL, ABL proto-oncogene 1, non-receptor tyrosine kinase, AI325092, c-ABL, c-abl oncogene 1, non-receptor tyrosine kinase, CABL1, CHDSKM, E430008G22Rik, JTK7, LOC100909750, p145Abl, p150, tyrosine-protein kinase ABL1-like, v-abl	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL1	5804.595924	0.058300561	0.240672689	Nucleus	kinase	nilotinib, dasatinib, saracatinib, regorafenib, KW 2449, ponatinib, cyclophosphamide/daunorubicin/imatinib/prednisone/vincristine, imatinib/nilotinib/pegintron, bosutinib, imatinib, temozolomide, dexamethasone/imatinib/vincristine, dexamethasone/imatinib, imatinib/prednisone, SKLB1028, imatinib/nilotinib, dasatinib/nilotinib, cytarabine/etoposide/imatinib/mitoxantrone, etoposide/imatinib/mitoxantrone, cytarabine/imatinib, cyclophosphamide/daunorubicin/imatinib/prednisolone/vincristine	25	11350	100909750|311860
DNALigase	AL033288, ATP-dependent DNA ligase I, DNA ligase 1, DNA ligase 1-like, ligase I, DNA, ATP-dependent, LigI, LOC100911727	DNA ligase 1	LIG1	4256.772479	0.226087376	3.32069E-05	Nucleus	enzyme		3978	16881	81513|100911727
DNAPol-1	alpha PRIMASE p180, AW321876, DNA polymerase alpha, DNA polymerase alpha 1, catalytic subunit, DNA polymerase alpha subunit 1, DNA polymerase _, DNA polymerase _ 1, catalytic subunit, DNA polymerase _ subunit 1, NSX, p180, POLA, Polalpha, polymerase (DNA directed), alpha 1, polymerase (DNA directed), _ 1, POLYMERASE alpha, POLYMERASE _, Pol_, _ PRIMASE p180	DNA polymerase alpha 1, catalytic subunit	POLA1	1652.518485	0.757698877	2.07759E-34	Nucleus	enzyme	nelarabine, MB07133, cytarabine/fludarabine phosphate, cytarabine/daunorubicin, bortezomib/cladribine/rituximab, cladribine/cytarabine/daunorubicin, cytarabine/etoposide, cytarabine/etoposide/mitoxantrone, cytarabine/dexamethasone, cytarabine/mitoxantrone, cyclophosphamide/cytarabine/6-mercaptopurine, cladribine/cytarabine/filgrastim, clofarabine/cyclophosphamide/etoposide, cytarabine/filgrastim/fludarabine phosphate, cladribine/cytarabine/filgrastim/mitoxantrone, fludarabine phosphate/rituximab, clofarabine/cytarabine/filgrastim, cladribine/rituximab, cytarabine/filgrastim/fludarabine phosphate/idarubicin, cladribine/cytarabine/filgrastim/idarubicin, dexamethasone/fludarabine phosphate/mitoxantrone, alemtuzumab/cyclophosphamide/fludarabine phosphate/rituximab, alemtuzumab/fludarabine phosphate, cytarabine/fludarabine phosphate/oxaliplatin/rituximab, cyclophosphamide/fludarabine phosphate/mitoxantrone/rituximab, fludarabine phosphate/mitoxantrone/rituximab, dexamethasone/fludarabine phosphate/mitoxantrone/rituximab, fludarabine phosphate/mitoxantrone, cyclophosphamide/fludarabine phosphate/mitoxantrone, alemtuzumab/cyclophosphamide/fludarabine phosphate/mitoxantrone, cladribine/cytarabine/filgrastim/idarubicin/plerixafor, chlorambucil/fludarabine phosphate, clofarabine/filgrastim/idarubicin, clofarabine/cytarabine/filgrastim/idarubicin, clofarabine/filgrastim, cladribine/peginterferon alfa-2a, cytarabine/topotecan, cladribine/cytarabine/decitabine, cytarabine/dexamethasone/oxaliplatin/rituximab, cytarabine/rituximab, alemtuzumab/cyclophosphamide/fludarabine phosphate, cyclophosphamide/fludarabine phosphate, clofarabine, cytarabine/daunorubicin/etoposide/gemtuzumab ozogamicin, cladribine/recombinant interferon, cytarabine/daunorubicin/etoposide, cytarabine/etoposide/imatinib/mitoxantrone, cytarabine/imatinib, fludarabine phosphate, cytarabine, trifluridine, vidarabine, fludarabine, cladribine, entecavir	5422	18968	85241
DNA synthesis							Other	function				
GEN1	5830483C08Rik, FLJ40869, Gen, GEN1 Holliday junction 5' flap endonuclease, GEN1, Holliday junction 5' flap endonuclease, LOC284952, RGD1559792	GEN1, Holliday junction 5' flap endonuclease					Cytoplasm	enzyme		348654	209334	298884
MRE11	ATLD, HNGS1, MRE11 homolog A, double strand break repair nuclease, MRE11 homolog, double strand break repair nuclease, MRE11A, MRE11A homolog A, double strand break repair nuclease, MRE11B	MRE11 homolog, double strand break repair nuclease	MRE11A	1426.426892	0.67106579	1.41276E-24	Nucleus	enzyme		4361	17535	64046
MRN	MRE11-Rad50-NBS1, NBS1-Rad50-MRE11						Nucleus	complex				
NBS1	AT-V1, AT-V2, ATV, NBS, NBS1, NIBRIN, P95	nibrin	NBN	2482.898968	0.314227213	2.33315E-07	Nucleus	other		4683	27354	85482
Rad50	hRad50, Mrell, NBSLD, RAD50 double strand break repair protein, RAD502, Rad50l	RAD50 double strand break repair protein	RAD50	1278.880386	0.468367653	5.42104E-07	Nucleus	enzyme		10111	19360	64012
RAD51	AV304093, BRCC5, FANCR, HRAD51, HsRad51, HsT16930, MRMV2, RAD51 recombinase, RAD51A, RECA, RECA-LIKE, RGD1563603	RAD51 recombinase	RAD51	775.8381136	1.326319901	3.47433E-53	Nucleus	enzyme		5888	19361	499870
